མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
,,242,5,《པེ་》《སྣར་》,སྦྱང་བ།,,
,74,243,1,《པེ་》《སྣར་》,pདེ།,,
,,244,2,《པེ་》《སྣར་》,pདག,,
,,245,3,《པེ་》《སྣར་》,འཕྲོག,,
,,246,4,《པེ་》《སྣར་》,པོ།,,
,,247,5,《པེ་》《སྣར་》,བལྟ།,,
,,248,6,《པེ་》《སྣར་》,བལྟ།,,
,75,249,1,《པེ་》《སྣར་》,pཞམ་འབྲིང་བྱེ་བ་སྟོང་ཕྲག་དུ་མ་དང་།,,
,,250,2,《པེ་》《སྣར་》,mཕྲག,,
,76,251,1,《སྣར་》,mབཞིན།,,
,,252,2,《པེ་》《སྣར་》,mཡང་།,,
,,253,3,《པེ་》《སྣར་》,mཔ།,,
,,254,4,《པེ་》《སྣར་》,ཟད།,,
,,255,5,《པེ་》《སྣར་》,དངངས་པར།,,
,,256,6,《པེ་》《སྣར་》,mབ།,,
,77,257,1,《པེ་》《སྣར་》,ཆོས།,,
,,258,2,《པེ་》《སྣར་》,པོ།,,
,,259,3,《པེ་》《སྣར་》,བའི།,,
,,260,4,《པེ་》《སྣར་》,pཐམས་ཅད།,,
,,261,5,《པེ་》《སྣར་》,བ།,,
,,262,6,《པེ་》《སྣར་》,དབྱེར།,,
,,263,7,《པེ་》《སྣར་》,ཏེ།,,
,78,264,1,《པེ་》《སྣར་》,པོས།,,
,,265,2,《པེ་》《སྣར་》,mཔ།,,
,,266,3,《པེ་》《སྣར་》,གིས།,,
,,267,4,《སྣར་》,ཡང་།,,
,79,268,1,《པེ་》《སྣར་》,པོ་དེས།,,
,,269,2,《པེ་》《སྣར་》,ཡང་།,,
,,270,3,《པེ་》《སྣར་》,mརྣམས་ཀྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི།,,
,80,271,1,《པེ་》《སྣར་》,pལ།,,
,,272,2,《པེ་》《སྣར་》,གཟུང་།,,
,81,273,1,《པེ་》《སྣར་》,mལ།,,
,,274,2,《པེ་》《སྣར་》,དཔའི།,,
,,275,3,《པེ་》《སྣར་》,པ།,,
,,276,4,《པེ་》《སྣར་》,གྱིས་བརླབས།,,
,,277,5,《པེ་》《སྣར་》,གྱིས་བརླབས།,,
,82,278,1,《པེ་》《སྣར་》,པ་ལས།,,
,,279,2,《པེ་》《སྣར་》,དེ།,,
,,280,3,《པེ་》《སྣར་》,གྱིས་བརླབས།,,
,,281,4,《པེ་》《སྣར་》,དེ།,,
,,282,5,《པེ་》《སྣར་》,ལ།,,
,,283,6,《པེ་》《སྣར་》,pནས།,,
,,284,7,《པེ་》《སྣར་》,བསྐྱེད།,,
,,285,8,《པེ་》《སྣར་》,གྱིས་བརླབས།,,
,83,286,1,《པེ་》《སྣར་》,pམི་བསྙེན།,,
,,287,2,《ཅོ་》,སྤྱོད།,,
,,288,3,《པེ་》《སྣར་》,གཟུང་།,,
,,289,4,《ཅོ་》,སྤྱོད།,,
,,290,5,《སྣར་》《ཅོ་》,སྤྱོད།,,
,,291,6,《པེ་》《སྣར་》,གིས་བྱིན་གྱིས་བརླབས།,,
,,292,7,《སྣར་》,འོགས་པ།,,
,84,293,1,《པེ་》《སྣར་》,pཔ།,,
,,294,2,《པེ་》《སྣར་》,པ་ལས།,,
,,295,3,《པེ་》《སྣར་》,ད།,,
,85,296,1,《པེ་》《སྣར་》,ཞིང་།,,
,,297,2,《པེ་》《སྣར་》,pདེ་ལ།,,
,,298,3,《པེ་》《སྣར་》,ལ།,,
,,299,4,《པེ་》《སྣར་》,གྱིས་བླབས།,,
,86,300,1,《པེ་》《སྣར་》,གྱིས་བརླབས།,,
,,301,2,《ཅོ་》,སྤྱོད།,,
,,302,3,《པེ་》,གྱིས་བརླབས།,《སྣར་》,གྱི་བརླབས།,
,,303,4,《པེ་》《སྣར་》,mབྱ་བར་འགྱུར་རོ་ཞེས།,,
,,304,5,《པེ་》《སྣར་》,གིས།,,
,,305,6,《པེ་》《སྣར་》,pདེ།,,
,87,306,1,《པེ་》《སྣར་》,mལ།,,
,,307,2,《པེ་》《སྣར་》,གཟུང་།,,
,,308,3,《པེ་》《སྣར་》,གྲོ།,,
,,309,4,《པེ་》《སྣར་》,བསྟེན།,,
,,310,5,《པེ་》《སྣར་》,དཔས།,,
,,311,6,《པེ་》《སྣར་》,mཔ།,,
,88,312,1,《པེ་》《སྣར་》,རྩ་བའི་ལྟུང་བ།,,
,,313,2,《པེ་》《སྣར་》,འམ།,,
,,314,3,《པེ་》,པོ།,《སྣར་》,པོར།,
,89,315,1,《པེ་》《སྣར་》,པར།,,
,,316,2,《པེ་》《སྣར་》,དྲང་།,,
,,317,3,《པེ་》《སྣར་》,pདེ།,,
,,318,4,《པེ་》《སྣར་》,པས།,,
,,319,5,《སྣར་》,བཅིང་།,,
,,320,6,《པེ་》《སྣར་》,བསྙས།,,
,90,321,1,《སྣར་》,བསམས།,,
,,322,2,《པེ་》《སྣར་》《ཅོ་》,pལ།,,
,,323,3,《པེ་》《སྣར་》,ཅིག,,
,,324,4,《པེ་》《སྣར་》,pཏེ།,,
,,325,5,《པེ་》《སྣར་》,pཀྱང་།,,
,91,326,1,《པེ་》《སྣར་》,mདེས།,,
,,327,2,《པེ་》《སྣར་》,བྱ།,,
,92,328,1,《པེ་》《སྣར་》,བརྟེན།,,
,,329,2,《སྣར་》,pཔ།,,
,,330,3,《པེ་》《སྣར་》,པ།,,
,,331,4,《པེ་》《སྣར་》,གྲོར།,,
,,332,5,《པེ་》《སྣར་》,ལས།,,
,,333,6,《པེ་》《སྣར་》,ན་ཡང་།,,
,93,334,1,《པེ་》《སྣར་》,སངས།,,
,,335,2,《པེ་》《སྣར་》,གྲོར།,,
,,336,3,《པེ་》《སྣར་》《ཅོ་》,pཀྱི།,,
,95,337,1,《པེ་》《སྣར་》,པར།,,
,,338,2,《པེ་》《སྣར་》,པར།,,
,,339,3,《པེ་》《སྣར་》,པར།,,
,,340,4,《པེ་》《སྣར་》,པར།,,
,,341,5,《པེ་》《སྣར་》,པར།,,
,,342,6,《པེ་》《སྣར་》,mདཔུང་གཉེན་ནོ། །ལམ་གྱི་རྣམ་པ་ཤེས་པ་ཉིད་ནི།,,
,,343,7,《པེ་》《སྣར་》,པར།,,
,,344,8,《པེ་》《སྣར་》,པར།,,
,,345,9,《པེ་》《སྣར་》,པར།,,
,,346,10,《པེ་》《སྣར་》,mའདི།,,
,96,347,1,《པེ་》《སྣར་》,བཅད།,,
,,348,2,《པེ་》《སྣར་》,སྤྱད།,,
,,349,3,《པེ་》《སྣར་》,pའདི་སྐད་དུ།,,
,,350,4,《པེ་》《སྣར་》,བཅད།,,
,,351,5,《སྣར་》,སླབ།,,
,97,352,1,《པེ་》《སྣར་》,པ།,,
,,353,2,《པེ་》《སྣར་》,mགིས།,,
,,354,3,《པེ་》《སྣར་》,ལ།,,
,98,355,1,《པེ་》《སྣར་》,pཉིད།,,
,99,356,1,《པེ་》《སྣར་》,mཡོད་པ།,,
,,357,2,《པེ་》《སྣར་》,mདོ།,,
,,358,3,《པེ་》《སྣར་》,དང།,,
,100,359,1,《པེ་》《སྣར་》,pདོ།།,,
,,360,2,《པེ་》《སྣར་》,mཔར།,,
,,361,3,《པེ་》《སྣར་》,ནོན།,,
,,362,4,《པེ་》《སྣར་》,གིས།,,
,101,363,1,《པེ་》《སྣར་》,སྟང་།,,
