མཚན་བྱང་།,པར་གྲངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,,451,2,《པེ་》《སྣར་》,mཤེས་པའི།,
,,1148,452,1,《སྣར་》,mལྟ།,
,,,453,2,《པེ་》《སྣར་》,གཏོགས།,
,,,454,3,《པེ་》《སྣར་》,གྱི།,
,,1149,455,1,《པེ་》《སྣར་》,mཁྱབ་པ་བསམ་གྱིས་མི།,
,,,456,2,《པེ་》《སྣར་》,ནི།,
,,1150,457,1,《པེ་》《སྣར་》,mཔ།,
,,,458,2,《པེ་》《སྣར་》,ལྟ།,
,,,459,3,《སྣར་》,mའདི།,
,,,460,4,《སྣར་》,འདི།,
,,,461,5,《པེ་》《སྣར་》,mརོ།,
,,,462,6,《པེ་》《སྣར་》,ན།,
,,,463,7,《པེ་》《སྣར་》,འབེམ།,
,,,464,8,《པེ་》《སྣར་》,mཔ།,
,,1152,465,1,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,,466,2,《པེ་》《སྣར་》,mམ།,
,,,467,3,《པེ་》《སྣར་》,བཟུང་བ།,
,,,468,4,《པེ་》《སྣར་》,པས།,
,,,469,5,《པེ་》《སྣར་》,mདུ།,
,,,470,6,《པེ་》《སྣར་》,དྲི།,
,,1153,471,1,《པེ་》《སྣར་》,ན།,
,,,472,2,《པེ་》《སྣར་》,mདུ།,
,,,473,3,《པེ་》,རྗོད།,
,,,474,4,《སྣར་》,pགཏན་ཚིགས་གང་གིས་དེ་ལྟར་ཡིན་པ་དེ་བས་ན་བསམ་གྱིས་མི་ཁྱབ་པ་ཡིན་ནོ།  །,
,,,475,5,《སྣར་》,mབས་ན།,
,,1154,476,1,《པེ་》《སྣར་》,mརོ།,
,,1155,477,1,《པེ་》《སྣར་》,ཀྱང་།,
,,,478,2,《པེ་》《སྣར་》,ལས།,
,,1156,479,1,《སྣར་》,mནོ།,
,,,480,2,《པེ་》《སྣར་》,ཁོ་ན།,
,,1157,481,1,《པེ་》《སྣར་》,mལ།,
,,,482,2,《པེ་》《སྣར་》,mདེ།,
,,,483,3,《པེ་》《སྣར་》,ན།,
,,,484,4,《སྣར་》,mནི་གནས།,
,,,485,5,《པེ་》《སྣར་》,ལ།,
,,,486,6,《པེ་》《སྣར་》,pའབྱུང་བ་མ་མཆིས་པ།,
,,,487,7,《པེ་》《སྣར་》,mམ་ཡིན།,
,,1158,488,1,《སྣར་》,སྐྱེད།,
,,,489,2,《པེ་》《སྣར་》,mམ།,
,,,490,3,《པེ་》《སྣར་》,རིག,
,,1159,491,1,《སྣར་》,མ།,
,,,492,2,《སྣར་》,mདག,
,,1160,493,1,《པེ་》,སོ་ཞེས་གསོལ་ཏོ།,《སྣར་》,ཞེས་གསོལ་ཏོ།
,,,494,2,《པེ་》《སྣར་》,རྒལ།,
,,,495,3,《པེ་》《སྣར་》,ཀྱིས།,
,,1161,496,1,《པེ་》《སྣར་》,པ་ནི།,
,,,497,2,《པེ་》《སྣར་》,སྐྱེད།,
,,1162,498,1,《པེ་》《སྣར་》,བྱར།,
,,,499,2,《སྣར་》,གིས།,
,,,500,3,《པེ་》《སྣར་》,བ།,
,,1163,501,1,《པེ་》《སྣར་》,pམི།,
,,,502,2,《པེ་》《སྣར་》,mཔ།,
,,,503,3,《པེ་》《སྣར་》,པ།,
,,1164,504,1,《སྣར་》,mཔ།,
,,,505,2,《པེ་》《སྣར་》,ཡང་།,
,,,506,3,《པེ་》《སྣར་》,ལ།,
,,,507,4,《པེ་》《སྣར་》,ལ།,
,,1165,508,1,《སྣར་》《པེ་》,དམིགས།,
,,,509,2,《པེ་》《སྣར་》,དུ།,
,,,510,3,《པེ་》《སྣར་》,pཔ།,
,,,511,4,《པེ་》《སྣར་》,mལ།,
,,1166,512,1,《པེ་》《སྣར་》,འཕྲིན།,
,,,513,2,《པེ་》《སྣར་》,mཉིད།,
,,,514,3,《པེ་》《སྣར་》,mམ།,
,,,515,4,《པེ་》《སྣར་》,སྐོར།,
,,,516,5,《པེ་》《སྣར་》,ཡི་གེ།,
,,,517,6,《པེ་》《སྣར་》,mཞེ།།,
,,,518,7,《པེ་》《སྣར་》,pམེད།,
,,1167,519,1,《པེ་》《སྣར་》,བཅད།,
,,,520,2,《པེ་》《སྣར་》,mནི།,
,,,521,3,《པེ་》《སྣར་》,གི།,
,,,522,4,《པེ་》《སྣར་》,mལ།,
,,1168,523,1,《པེ་》《སྣར་》,mཔ།,
,,,524,2,《པེ་》《སྣར་》,འགྲེལ།,
,,,525,3,《པེ་》,པོའི།,《སྣར་》,པོའི་ང་།
,,1169,526,1,《པེ་》《སྣར་》,pཔ།,
,,,527,2,《པེ་》《སྣར་》,གི་བསྐྱེད་པའམ།,
,,,528,3,《པེ་》《སྣར་》,mམ།,
,,,529,4,《པེ་》《སྣར་》,མི།,
,,,530,5,《པེ་》《སྣར་》,པ།,
,,1170,531,1,《པེ་》《སྣར་》,བདག,
,,,532,2,《སྣར་》,རྗོད།,
,,,533,3,《པེ་》《སྣར་》,mཕྱིར།,
,,,534,4,《པེ་》《སྣར་》,mམི།,
,,1171,535,1,《སྣར་》,བའི།,
,,,536,2,《པེ་》《སྣར་》,mམ།,
,,,537,3,《པེ་》,ཆག་གྲུབས།,《སྣར་》,ཆགས་གྲུབས།
,,,538,4,《པེ་》《སྣར་》,པ།,
,,,539,5,《པེ་》《སྣར་》,ནུས།,
,,1172,540,1,《པེ་》《སྣར་》,mཔའི།,
,,1173,541,1,《པེ་》《སྣར་》,mམི།,
,,,542,2,《པེ་》《སྣར་》,ཀཪྵ་པ་ན།,
,,,543,3,《པེ་》《སྣར་》,mདེ།,
,,1174,544,1,《པེ་》《སྣར་》,བྱ་བའི།,
,,,545,2,《པེ་》《སྣར་》,ཀཪྵ་པ་ན།,
,,,546,3,《པེ་》《སྣར་》,པའི།,
,,,547,4,《པེ་》《སྣར་》,mམ།,
,,,548,5,《པེ་》《སྣར་》,mསྔ་མ།,
,,,549,6,《སྣར་》,mཡང།,
,,1175,550,1,《པེ་》《སྣར་》,mམ།,
,,,551,2,《པེ་》《སྣར་》,mདེ།,
,,,552,3,《པེ་》,འཇིགས།,
,,,553,4,《པེ་》《སྣར་》,པ།,
,,,554,5,《པེ་》,ཟག,
,,,555,6,《པེ་》《སྣར་》,pཡང།,
,,,556,7,《པེ་》《སྣར་》,pའཇུག་པ་ལ་ཆགས་པའི་རྣམ་པར།,
,,,557,8,《པེ་》《སྣར་》,མ།,
,,1176,558,1,《སྣར་》,པ།,
,,,559,2,《པེ་》《སྣར་》,ནམ།,
,,,560,3,《སྣར་》,mནི།,
,,,561,4,《པེ་》《སྣར་》,mལ།,
,,,562,5,《པེ་》《སྣར་》,ཡིད།,
,,1177,563,1,《པེ་》《སྣར་》,འགའ།,
,,,564,2,《སྣར་》,དེ།,
,,,565,3,《པེ་》《སྣར་》,འཕེབས།,
,,,566,4,《སྣར་》,བསྒྲུབ།,
,,,567,5,《སྣར་》,བསྒོམ།,
,,1178,568,1,《པེ་》《སྣར་》,mསོ།,
,,,569,2,《པེ་》《སྣར་》,བསྐུར།,
,,,570,3,《པེ་》《སྣར་》,ལ་སོགས།,
,,,571,4,《པེ་》《སྣར་》,བ།,
,,,572,5,《པེ་》《སྣར་》,ན།,
,,1179,573,1,《སྣར་》,mན།,
,,,574,2,《པེ་》《སྣར་》,mདེ།,
,,1180,575,1,《པེ་》《སྣར་》,ནོ།།,
,,,576,2,《སྣར་》,ཚོགས།,
,,,577,3,《པེ་》《སྣར་》,ནི།,
,,,578,4,《པེ་》《སྣར་》,འབྲལ།,
,,,579,5,《པེ་》《སྣར་》,mལས།,
,,,580,6,《པེ་》《སྣར་》,གྱུར་པ།,
,,,581,7,《པེ་》《སྣར་》,ཏོན།,
,,,582,8,《པེ་》《སྣར་》,གྱིས་བརླབས།,
,,1181,583,1,《པེ་》《སྣར་》,དགའི།,
,,,584,2,《སྣར་》,དཔོགས།,
,,,585,3,《སྣར་》,གིས།,
,,1182,586,1,《པེ་》《སྣར་》,ཐོབ།,
,,,587,2,《པེ་》《སྣར་》,སྐྱེ་བའི།,
,,,588,3,《པེ་》《སྣར་》,རྗོད།,
,,,589,4,《པེ་》《སྣར་》,pགསོལ་བ་འདེབས་པ་ཡང་ནས་ཡང་དུ།,
,,,590,5,《སྣར་》,mནི།,
,,,591,6,《པེ་》,མི།,
,,1183,592,1,《པེ་》,བར།,
,,,593,2,《པེ་》《སྣར་》,pལ།,
,,,594,3,《པེ་》《སྣར་》,ཀྱིས།,
,,1184,595,1,《སྣར་》,གསལ།,
,,,596,2,《སྣར་》,བོ།,
,,,597,3,《པེ་》《སྣར་》,mམ།,
,,,598,4,《པེ་》《སྣར་》,པར།,
,,,599,5,《པེ་》《སྣར་》,pན།,
,,,600,6,《པེ་》《སྣར་》,བར།,
,,1185,601,1,《པེ་》《སྣར་》,བྱེད།,
,,,602,2,《པེ་》《སྣར་》,ཞེ།,
,,,603,3,《སྣར་》,mན།,
,,1186,604,1,《སྣར་》,མཉམ།,
,,,605,2,《པེ་》《སྣར་》,བཀླགས།,
,,,606,3,《སྣར་》,དོན།,
,,,607,4,《པེ་》《སྣར་》,པར།,
,,,608,5,《པེ་》《སྣར་》,ཀྱི།,
,,1187,609,1,《པེ་》《སྣར་》,སོ།།,
,,,610,2,《པེ་》《སྣར་》,པར།,
,,,611,3,《པེ་》《སྣར་》,པ་དེའི།,
,,,612,4,《པེ་》《སྣར་》,mདེའི་ཕྱིར།,
,,1188,613,1,《པེ་》《སྣར་》,ནོ།,
,,,614,2,《པེ་》,པ།,
,,,615,3,《པེ་》《སྣར་》,mམ།,
,,,616,4,《པེ་》《སྣར་》,རིག,
,,,617,5,《པེ་》《སྣར་》,པ།,
,,,618,6,《པེ་》《སྣར་》,བའི།,
,,,619,7,《པེ་》《སྣར་》,མེད།,
,,,620,8,《པེ་》《སྣར་》,pཔ།,
,,,621,9,《པེ་》《སྣར་》,ཅི།,
,,,622,10,《པེ་》《སྣར་》,mཡང་།,
,,1189,623,1,《པེ་》《སྣར་》,བསྟན་ཏོ།།,
,,,624,2,《པེ་》《སྣར་》,mརིང་དུ།,
,,,625,3,《པེ་》《སྣར་》,བསམས།,
,,,626,4,《པེ་》《སྣར་》,པ།,
,,,627,5,《པེ་》《སྣར་》,བསྟན།,
,,1190,628,1,《སྣར་》,pབ།,
,,,629,2,《པེ་》《སྣར་》,རྟོག,
,,,630,3,《པེ་》《སྣར་》,ཡིན།,
,,,631,4,《པེ་》《སྣར་》,བསྒྲུབས།,
,,1191,632,1,《པེ་》《སྣར་》,pཔར།,
,,,633,2,《པེ་》《སྣར་》,པ།,
,,,634,3,《པེ་》《སྣར་》,བརྒལ་བ།,
,,,635,4,《སྣར་》,ཅིག,
,,,636,5,《སྣར་》,pནོ།།,
,,,637,6,《པེ་》《སྣར་》,pཡང་།,
,,,638,7,《པེ་》《སྣར་》,mཔ།,
,,,639,8,《པེ་》《སྣར་》,mགཞན།,
,,,640,9,《པེ་》《སྣར་》,པ།,
,,,641,10,《སྣར་》,རྟགས།,
,,1192,642,1,《པེ་》《སྣར་》,པུ།,
,,,643,2,《པེ་》《སྣར་》,mཔ།,
,,,644,3,《སྣར་》,mམ།,
,,,645,4,《པེ་》《སྣར་》,ནོ།།,
,,1193,646,1,《པེ་》《སྣར་》,mདེ།,
,,,647,2,《པེ་》《སྣར་》,pགིས།,
,,,648,3,《སྣར་》,mརྣམ་པར་ཤེས་པ་ནི།,
,,,649,4,《པེ་》《སྣར་》,བསྐྱེད།,
,,1194,650,1,《པེ་》《སྣར་》,བསྒོམ།,
,,,651,2,《པེ་》《སྣར་》,mབློ།,
,,,652,3,《པེ་》《སྣར་》,mཔར།,
,,,653,4,《པེ་》《སྣར་》,སྦྱོར།,
,,,654,5,《པེ་》《སྣར་》,pནས།,
,,,655,6,《པེ་》,ན།,
,,,656,7,《པེ་》《སྣར་》,mབདེན་པ།,
,,1195,657,1,《པེ་》《སྣར་》,སྡེ།,
,,,658,2,《པེ་》《སྣར་》,བ་རཱ་ཎཱ་སེར།,
,,,659,3,《པེ་》《སྣར་》,ཀྱི།,
,,,660,4,《པེ་》《སྣར་》,mམོས།,
,,1196,661,1,《པེ་》《སྣར་》,mཔ།,
,,,662,2,《པེ་》《སྣར་》,mཔ་རྟོགས།,
,,,663,3,《པེ་》《སྣར་》,ཟློག,
,,,664,4,《པེ་》《སྣར་》,mལ།,
,,,665,5,《པེ་》《སྣར་》,mཁོ་ནས།,
,,,666,6,《སྣར་》,བརླབ།,
,,1197,667,1,《པེ་》《སྣར་》,ཏོ།།,
,,,668,2,《པེ་》《སྣར་》,བགྱིས།,
,,,669,3,《པེ་》《སྣར་》,སྦྱོར།,
,,,670,4,《སྣར་》,བསམས།,
,,,671,5,《པེ་》《སྣར་》,བསྒོམས།,
,,1198,672,1,《པེ་》《སྣར་》,mབར་བྱེད་ཅེས་བྱ།,
,,,673,2,《པེ་》《སྣར་》,སྒྲུབས།,
,,,674,3,《པེ་》《སྣར་》,mདུ།,
,,,675,4,《པེ་》《སྣར་》,mམི།,
,,,676,5,《སྣར་》,སྤོངས་པའི།,
,,,677,6,《པེ་》《སྣར་》,pཔ།,
,,,678,7,《པེ་》《སྣར་》,སྲུང་།,
,,,679,8,《པེ་》《སྣར་》,རྗོད།,
,,1199,680,1,《པེ་》,བསལ་བར་བྱེད་པར་བྱ་བ།,《སྣར་》,བསལ་བར་བྱེད་པ།
,,,681,2,《པེ་》《སྣར་》,པའི།,
,,,682,3,《པེ་》《སྣར་》,བསྒྲུབ།,
,,,683,4,《སྣར་》,སྨོན།,
,,,684,5,《པེ་》《སྣར་》,mདེ།,
,,1200,685,1,《པེ་》《སྣར་》,mཤེས་རབ།,
,,,686,2,《སྣར་》,པའི།,
,,,687,3,《པེ་》《སྣར་》,pམ།,
,,,688,4,《པེ་》《སྣར་》,སྤྱིར།,
,,,689,5,《པེ་》《སྣར་》,mམི།,
,,,690,6,《པེ་》《སྣར་》,པས།,
,,,691,7,《པེ་》《སྣར་》,པ།,
,,1201,692,1,《པེ་》《སྣར་》,བརྟག,
,,,693,2,《པེ་》《སྣར་》,ནི།,
,,1202,694,1,《པེ་》《སྣར་》,པ།,
,,,695,2,《པེ་》《སྣར་》,pདང་།,
,,,696,3,《པེ་》《སྣར་》,འགྲེལ།,
,,,697,4,《པེ་》《སྣར་》,པ།,
,,,698,5,《པེ་》《སྣར་》,པས་སྒྲུབ།,
,,1203,699,1,《པེ་》《སྣར་》,བས་ཏེ།,
,,,700,2,《པེ་》《སྣར་》,འགག,
,,,701,3,《པེ་》《སྣར་》,རིམ།,
,,,702,4,《པེ་》《སྣར་》,mབྱ་བ།,
,,,703,5,《པེ་》《སྣར་》,mནས།,
,,1204,704,1,《པེ་》,ཞེས།,《སྣར་》,ཞེ།
,,,705,2,《པེ་》《སྣར་》,གཙོར།,
,,,706,3,《པེ་》《སྣར་》,mསྤྱོད།,
,,,707,4,《པེ་》《སྣར་》《ཅོ་》,ནོ།,
,,,708,5,《པེ་》《སྣར་》,ཐེག,
,,,709,6,《པེ་》《སྣར་》,ལོ།,
,,1205,710,1,《པེ་》《སྣར་》,ལྟ་བ།,
,,,711,2,《པེ་》《སྣར་》,mསྤྱོད།,
,,,712,3,《པེ་》《སྣར་》,སྤྱད།,
,,,713,4,《པེ་》《སྣར་》,འཐོབ།,
,,1206,714,1,《པེ་》《སྣར་》,སོ།།,
,,,715,2,《པེ་》《སྣར་》,པ།,
,,,716,3,《པེ་》《སྣར་》,སྔོན།,
,,1207,717,1,《སྣར་》,དེས།,
,,,718,2,《པེ་》《སྣར་》,pཡང་།,
,,,719,3,《པེ་》《སྣར་》,བུ།,
,,,720,4,《པེ་》《སྣར་》,ཞེས།,
,,1208,721,1,《པེ་》《སྣར་》,ཉིད།,
,,,722,2,《པེ་》《སྣར་》,བསྟེན།,
,,,723,3,《པེ་》《སྣར་》,སྙུངས།,
,,,724,4,《པེ་》《སྣར་》,ནི།,
,,,725,5,《པེ་》《སྣར་》,བྱས་པའོ།,
,,,726,6,《པེ་》《སྣར་》,mརོ།,
,,1209,727,1,《པེ་》《སྣར་》,སྟེན།,
,,,728,2,《པེ་》《སྣར་》,mདེ་ཡིད་ལ་བྱེད་པའི།,
,,,729,3,《པེ་》《སྣར་》,mཡིད།,
,,,730,4,《པེ་》《སྣར་》,mམཚན་མ།,
,,1210,731,1,《པེ་》《སྣར་》,ཐོས།,
,,,732,2,《པེ་》《སྣར་》,གྱི།,
,,,733,3,《པེ་》《སྣར་》,mབ།,
,,,734,4,《པེ་》《སྣར་》,བསམས།,
,,1211,735,1,《པེ་》《སྣར་》,མར།,
,,,736,2,《པེ་》《སྣར་》,ནི།,
,,1212,737,1,《པེ་》《སྣར་》,བྱ་བའོ།,
,,,738,2,《པེ་》《སྣར་》,mཀྱི།,
,,,739,3,《པེ་》《སྣར་》,mལྟ་བུ།,
,,,740,4,《པེ་》《སྣར་》,བསྒྲུབ།,
,,,741,5,《པེ་》《སྣར་》,དགའ།,
,,,742,6,《པེ་》《སྣར་》,mམ།,
,,,743,7,《པེ་》《སྣར་》,པ།,
,,,744,8,《པེ་》《སྣར་》,ཏིང་ངེ།,《ཅོ་》,ནི་ཏིང་ངེ།
,,,745,9,《པེ་》《སྣར་》,སྒྲིབས།,
,,,746,10,《པེ་》《སྣར་》,དེ།,
,,1213,747,1,《པེ་》《སྣར་》,pལ།,
,,,748,2,《པེ་》《སྣར་》,རིག,
,,1214,749,1,《པེ་》《སྣར་》,ཡོད་དེ།,
,,,750,2,《པེ་》《སྣར་》,གྱུར།,
,,,751,3,《པེ་》《སྣར་》,ཅིང་།,
,,,752,4,《པེ་》《སྣར་》,ཐོབ།,
,,,753,5,《པེ་》《སྣར་》,བསྒོམ།,
,,1215,754,1,《པེ་》,pཔ།,
,,,755,2,《པེ་》《སྣར་》,pམི།,
,,,756,3,《པེ་》《སྣར་》,ཐམས་ཅད།,
,,,757,4,《པེ་》《སྣར་》,pབྱ་བར།,
,,,758,5,《པེ་》《སྣར་》,པར།,
,,,759,6,《པེ་》《སྣར་》,pནི།,
,,1216,760,1,《པེ་》《སྣར་》,ཐམས་ཅད།,
,,,761,2,《པེ་》《སྣར་》,mའདི།,
,,,762,3,《པེ་》《སྣར་》,pརོ།།,
,,1217,763,1,《པེ་》《སྣར་》,ཏོ།,
,,,764,2,《པེ་》《སྣར་》,pཔ་ལ་སོགས།,
,,,765,3,《པེ་》《སྣར་》,mཀྱི།,
,,,766,4,《པེ་》《སྣར་》,mན།,
,,,767,5,《པེ་》《སྣར་》,སེམས།,
,,,768,6,《པེ་》《སྣར་》,བྱའོ།,
,,,769,7,《པེ་》《སྣར་》,རྒྱུད།,
,,,770,8,《པེ་》《སྣར་》,ཏོ།,
,,,771,9,《སྣར་》,mནོ།,
,,,772,10,《པེ་》《སྣར་》,བྱེད།,
,,1218,773,1,《པེ་》《སྣར་》,pཔ།,
,,,774,2,《སྣར་》,pམི།,
,,,775,3,《པེ་》《སྣར་》,དེ།,
,,,776,4,《པེ་》《སྣར་》,འགྱུར་བ།,
,,1219,777,1,《པེ་》《སྣར་》,mནི།,
,,,778,2,《པེ་》《སྣར་》,mབྱང་ཆུབ་པ་པོ་དང་།,
,,,779,3,《པེ་》《སྣར་》,དགོས།,
,,,780,4,《པེ་》《སྣར་》,pཡང་།,
,,1220,781,1,《པེ་》《སྣར་》,ཤམ།,
,,,782,2,《པེ་》《སྣར་》,བྱུང་།,
,,,783,3,《སྣར་》,pཕྱིར་མི་འདོར་བ་དེ་ཡང་།,
,,1221,784,1,《པེ་》《སྣར་》,སླབ།,
,,,785,2,《སྣར་》,གཉིས།,
,,1222,786,1,《པེ་》《སྣར་》,pཔ།,
,,,787,2,《པེ་》《སྣར་》,ཞེ།,
,,,788,3,《སྣར་》,བསླུ།,
,,,789,4,《པེ་》《སྣར་》,འཐོབ།,
,,,790,5,《པེ་》《སྣར་》,ཞིག,
,,,791,6,《པེ་》《སྣར་》,ཀླག,
,,,792,7,《པེ་》《སྣར་》,རྗེས།,
,,1223,793,1,《པེ་》《སྣར་》,pཔ་མེད།,
,,,794,2,《པེ་》《སྣར་》,ཀྱི།,
,,,795,3,《པེ་》《སྣར་》,མ།,
,,,796,4,《པེ་》《སྣར་》,བརྟེན།,
,,,797,5,《པེ་》《སྣར་》,སྒོམས།,
,,,798,6,《སྣར་》,བྱེད།,
,,,799,7,《པེ་》《སྣར་》,གཅིག,
,,,800,8,《པེ་》《སྣར་》,ན།,
,,,801,9,《པེ་》《སྣར་》,བརྟན་པོར།,
,,1225,802,1,《པེ་》《སྣར་》,ཡིན།,
,,,803,2,《པེ་》《སྣར་》,དག,
,,,804,3,《པེ་》《སྣར་》,pཔ།,
,,,805,4,《སྣར་》,གཟུངས་པ།,
,,,806,5,《སྣར་》,mནོ།,
,,,807,6,《སྣར་》,ཏེ།,
,,,a,7,《སྣར་》,འདིས།,
,,1226,808,1,《པེ་》《སྣར་》,pཡོད་པ།,
,,,809,2,《པེ་》《སྣར་》,mཆོས།,
,,,810,3,《པེ་》《སྣར་》,mན།,
,,,811,4,《པེ་》《སྣར་》,pགི།,
,,,812,5,《པེ་》《སྣར་》,ཏེ།,
,,,813,6,《པེ་》《སྣར་》,ཞིག,
,,,814,a,,,
,,1227,815,1,《པེ་》《སྣར་》,པ།,
,,1228,816,1,《པེ་》《སྣར་》,བ་ལ།,
,,,817,2,《པེ་》《སྣར་》,འདྲི།,
,,,818,3,《པེ་》,mབདག,《སྣར་》,དེ།
,,,819,4,《པེ་》《སྣར་》,mའདི་སྐད་དུ་ཞེས་གསུངས་སོ།  །,
,,,820,5,《པེ་》《སྣར་》,འདྲི།,
,,1229,821,1,《པེ་》《སྣར་》,ཞེན་པར།,《ཅོ་》,མངོན་པར།
,,,822,2,《པེ་》《སྣར་》,བརྒལ།,
,,,823,3,《པེ་》《སྣར་》,ལྟར།,
,,,824,4,《སྣར་》,སྟན།,
,,,825,5,《པེ་》《སྣར་》,རྟག,
,,1230,826,1,《སྣར་》,བྱའི།,
,,,827,2,《པེ་》《སྣར་》,གཟུང་།,
,,,828,3,《པེ་》《སྣར་》,བརྟེན།,
,,,829,4,《པེ་》《སྣར་》,དོགས།,
,,,830,5,《པེ་》《སྣར་》,གཉི་ག,
,,1231,831,1,《པེ་》《སྣར་》,mཅིག,
,,,832,2,《པེ་》,སིས་སྟ།,《སྣར་》,སིསྟ།
,,,833,3,《པེ་》,mརྣམས་ཀྱི་དེ་ཁོ་ན་ཉིད་ཤེས་པ།,
,,,834,4,《པེ་》,mཞེས།,
,,1232,835,1,《སྣར་》,pལ།,
,,,836,2,《པེ་》《སྣར་》,སྤོབ།,
,,,837,3,《པེ་》《སྣར་》,pམ།,
,,1233,838,1,《པེ་》《སྣར་》,ལ།,
,,,839,2,《པེ་》《སྣར་》,pདག,
,,,840,3,《པེ་》《སྣར་》,གཟུང་།,
,,,841,4,《པེ་》《སྣར་》,བསྐྱེད།,
,,1234,842,1,《སྣར་》,mསོ།,
,,,843,2,《པེ་》《སྣར་》,བ་སྟེ།,
,,,844,3,《པེ་》《སྣར་》,སྤྱོད།,
,,,845,4,《པེ་》《སྣར་》,mཏེ།,
,,,846,5,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,,847,6,《པེ་》《སྣར་》,བསྟན།,
,,1235,848,1,《པེ་》《སྣར་》,སྐྱེས།,
,,,849,2,《པེ་》《སྣར་》,དཔའི།,
,,,850,3,《པེ་》《སྣར་》,དཔའ།,
,,,851,4,《པེ་》,mནི།,
,,1236,852,1,《པེ་》《སྣར་》,mཕྱིར།,
,,,853,2,《པེ་》《སྣར་》,གྲུབ།,
,,,854,3,《པེ་》《སྣར་》,ལྟའི།,
,,,855,4,《པེ་》《སྣར་》,མོས།,
,,1237,856,1,《པེ་》《སྣར་》,mརང་།,
,,,857,2,《པེ་》《སྣར་》,pབའི།,
,,,858,3,《པེ་》《སྣར་》,འགྱུར།,
,,,859,4,《པེ་》《སྣར་》,pབཞག,
,,,860,5,《པེ་》《སྣར་》,དཔས།,
,,1238,861,1,《པེ་》《སྣར་》,pདུ།,
,,,862,2,《པེ་》《སྣར་》,བསྟངས།,
,,,863,3,《པེ་》《སྣར་》,ལྟ།,
,,1239,864,1,《པེ་》《སྣར་》,mགང་དག་ཆོས།,
,,,865,2,《པེ་》,བཟུང་།,
,,,866,3,《པེ་》《སྣར་》,གཉིས།,
,,,867,4,《པེ་》《སྣར་》,བླང་བ།,
,,1240,868,1,《པེ་》《སྣར་》,mནོ།,
,,,869,2,《པེ་》《སྣར་》,mམི།,
,,,870,3,《པེ་》《སྣར་》,pདེ།,
,,1241,871,1,《པེ་》《སྣར་》,བསྒོམ།,
,,,872,2,《པེ་》《སྣར་》,རྗོད།,
,,,873,3,《པེ་》《སྣར་》,བུས།,
,,,874,4,《པེ་》《སྣར་》,pསྟེ།,
,,1242,875,1,《པེ་》《སྣར་》,སྤོས།,
,,,876,2,《པེ་》《སྣར་》,mདེ།,
,,,877,3,《པེ་》《སྣར་》,ཞེ།,
,,,878,4,《པེ་》《སྣར་》,པ་བྱུང་།,
,,,879,5,《པེ་》《སྣར་》,པའོ།,
,,,880,6,《པེ་》《སྣར་》,mཅེས།,
,,,881,7,《པེ་》《སྣར་》,འགྲེལ།,
,,1243,882,1,《སྣར་》,mམ།,
,,,883,2,《པེ་》《སྣར་》,རེནྟྲཱ།,
,,,884,,,,
,,,885,,,,
,,,aaaa,,,,
