མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,388,8,《པེ་》《སྣར་》,ཅིང་།,
,,389,9,《པེ་》《སྣར་》,ཅི།,
,63,390,1,《པེ་》《སྣར་》,འབྱིན།,
,,391,2,《པེ་》《སྣར་》,ཚོར།,
,,392,3,《པེ་》《སྣར་》,ཀྱིས།,
,,393,4,《པེ་》《སྣར་》,སྟུག,
,64,394,1,《པེ་》,སྔལ།,
,,395,2,《པེ་》《སྣར་》,བརྟག,
,,396,3,《པེ་》《སྣར་》,དགོས།,
,,397,4,《པེ་》《སྣར་》,mགང་གིས་འཛམ་བུའི་གླིང་འདིར་ནི།། ,
,,398,5,《པེ་》《སྣར་》,གི།,
,,399,6,《པེ་》《སྣར་》,།། །།,
,,400,7,《པེ་》《སྣར་》,སྡུས།,
,65,401,1,《ཅོ་》,སྤོངས་པ།,
,,402,2,《པེ་》《སྣར་》,སོ།,
,,403,3,《པེ་》《སྣར་》,mརྣམས།,
,,404,4,《པེ་》《སྣར་》,mདམ་པའི།,
,,405,5,《པེ་》《སྣར་》,pཐོབ་པའི།,
,,406,6,《པེ་》《སྣར་》,pནོ།། ,
,,407,7,《པེ་》《སྣར་》,ཉེ་བར།,
,,408,8,《པེ་》《སྣར་》,གྱིས།,
,66,409,1,《པེ་》,གཅད།,
,,410,2,《པེ་》《སྣར་》,སྒྱུར།,
,,411,3,《པེ་》《སྣར་》,mགང་།,
,,412,4,《པེ་》《སྣར་》,ན།,
,67,413,1,《པེ་》《སྣར་》,སྨྲས།,
,,414,2,《པེ་》《སྣར་》,རྨས།,
,,415,3,《པེ་》《སྣར་》,རྨས།,
,,416,4,《པེ་》《སྣར་》,mམི།,
,,417,5,《པེ་》《སྣར་》,རིགས།,
,,418,6,《པེ་》,ཤཱ་རི་དྭཱ།,
,,419,7,《པེ་》《སྣར་》,ནས།,
,,420,8,《པེ་》《སྣར་》,བའི་བར།,
,,421,9,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,68,422,1,《པེ་》《སྣར་》,pཔ།,
,,423,2,《སྣར་》,ཤཱ་ར་དྭཱ།,
,,424,3,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,425,4,《པེ་》《སྣར་》,mཔ།,
,,426,5,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,427,6,《པེ་》《སྣར་》,mཔོ།,
,,428,7,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,429,8,《པེ་》《སྣར་》,ཀྱི་བསྣུབ།,
,,430,9,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,431,10,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,69,432,1,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,433,2,《པེ་》《སྣར་》,འགྱུར།,
,,434,3,《པེ་》《སྣར་》,mཏུ།,
,,435,4,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,436,5,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,437,6,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,438,7,《པེ་》《སྣར་》,གཟུང་།,
,,439,8,《པེ་》《སྣར་》,གི།,
,,440,9,《པེ་》《སྣར་》,ཐོབ།,
,,441,10,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,442,11,《པེ་》《སྣར་》,པར།,
,70,443,1,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,444,2,《པེ་》《སྣར་》,ལྷུང་།,
,,445,3,《པེ་》,སྡུས།,
,,446,4,《པེ་》《སྣར་》,ལྟུང་།,
,,447,5,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,,448,6,《པེ་》《སྣར་》,སློངས།,
,,449,7,《པེ་》《སྣར་》,འགྱུར་རོ།,
,,450,8,《པེ་》《སྣར་》,གིས།,
,,451,9,《པེ་》《སྣར་》,དྭཱ།,
,71,452,1,《པེ་》《སྣར་》,སློངས།,
,,453,2,《པེ་》《སྣར་》,ཀྱི།,
,,454,3,《པེ་》《སྣར་》,དྭཱ།,
,,455,4,《པེ་》《སྣར་》,དྭཱ།,
,,456,5,《པེ་》《སྣར་》,བསྲེག,
,,457,6,《པེ་》,ལྷུང་།,
,,458,7,《པེ་》,དྭཱ།,
,,459,8,《པེ་》《སྣར་》,ཟད།,
,,460,9,《པེ་》《སྣར་》,།། །།,
,,461,10,《པེ་》《སྣར་》,ཀྱི།,
,,462,11,《པེ་》《སྣར་》,pལ།,
,72,463,1,《པེ་》《སྣར་》,ཀྱི་འཕོངས།,
,,464,2,《པེ་》《སྣར་》,རོ། །,
,,465,3,《སྣར་》,པོ།,
,,466,4,《སྣར་》,གིས།,
,,467,5,《པེ་》 《སྣར་བསྐྱར་ཟློས་》,འཕང་བར།,
,,468,6,《པེ་》 《སྣར་བསྐྱར་ཟློས་》,mཆེན་པོ་ནས་སེམས་ཅན་དམྱལ་བ།,
,,469,7,《པེ་》 《སྣར་བསྐྱར་ཟློས་》,mཐམས་ཅད།,
,,470,8,《སྣར་》,པ་ལ།,
