མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,370,3,《པེ་》《སྣར་》,mལྟར།,
,,371,4,《སྣར་》,mངོ་།,
,133,372,1,《པེ་》《སྣར་》,mངོ་།,
,,373,2,《པེ་》《སྣར་》,mངོ་།,
,,374,3,《སྣར་》,pངོ་།,
,134,375,1,《པེ་》《སྣར་》,mངོ་།,
,,376,2,《པེ་》,mབ་ནས།,
,135,377,1,《པེ་》《སྣར་》,མཐས།,
,,378,2,《པེ་》《སྣར་》,pཀྱང་།,
,136,379,1,《པེ་》《སྣར་》,མཐས།,
,137,380,1,《པེ་》《སྣར་》《ཅོ་》,pལ།,
,,381,2,《པེ་》《སྣར་》,བར།,
,138,382,1,《པེ་》《སྣར་》,དོ།།,
,,383,2,《པེ་》《སྣར་》,དོ།།,
,,384,3,《པེ་》《སྣར་》,།། །།,
,139,385,1,《པེ་》《སྣར་》,mལ།,
,142,386,1,《པེ་》《སྣར་》,pབཅོ་བརྒྱད།,
,,387,2,《པེ་》《སྣར་》,pཉིད།,
,143,388,1,《པེ་》《སྣར་》,pཉིད།,
,,389,2,《པེ་》《སྣར་》,།། །།,
,144,390,1,《སྣར་》,མི་ཅེས།,
,,391,2,《སྣར་》,རྣམས།,
,,392,3,《སྣར་》,བ།,
,,393,4,《པེ་》《སྣར་》,སྤྱོད།,
,,394,5,《པེ་》《སྣར་》,སྤྱོད།,
,,395,6,《པེ་》《སྣར་》,སྤྱོད།,
,,396,7,《པེ་》《སྣར་》,སྤྱོད།,
,,397,8,《པེ་》《སྣར་》,སྤྱོད།,
,,398,9,《པེ་》5,སྤྱོད།,
,,399,10,《པེ་》《སྣར་》,མི་སྤྱོད་དོ།,
,,400,11,《པེ་》《སྣར་》,སྤྱོད།,
,,401,12,《པེ་》《སྣར་》,སྤྱོད།,
,,402,13,《པེ་》《སྣར་》,སྤྱོད།,
,,403,14,《པེ་》《སྣར་》,སྤྱོད།,
,145,404,1,《པེ་》《སྣར་》,སྤྱོད།,
,,405,2,《པེ་》《སྣར་》,སྤྱོད་དོ།,
,,406,3,《པེ་》《སྣར་》,སྤྱོད།,
,,407,4,《པེ་》《སྣར་》,སྤྱོད།,
,,408,5,《པེ་》《སྣར་》,སྤྱོད།,
,,409,6,《པེ་》《སྣར་》,སྤྱོད།,
,,410,7,《པེ་》《སྣར་》,སྤྱོད་དོ།,
,,411,8,《པེ་》《སྣར་》,སྤྱོད།,
,,412,9,《པེ་》《སྣར་》,སྤྱོད།,
,,413,10,《པེ་》《སྣར་》,སྤྱོད།,
,,414,11,《པེ་》《སྣར་》,སྤྱོད།,
,,415,12,《པེ་》《སྣར་》,སྤྱོད་དོ།,
,,416,13,《པེ་》《སྣར་》,སྤྱོད་དོ།,
,,417,14,《པེ་》《སྣར་》,སྤྱོད།,
,,418,15,《པེ་》《སྣར་》,སྤྱོད།,
,,419,16,《པེ་》《སྣར་》,སྤྲོད།,
,,420,17,《པེ་》《སྣར་》,སྤྱོད།,
,,421,18,《པེ་》《སྣར་》,སྤྱོད།,
,,422,19,《པེ་》《སྣར་》,སྤྱོད་དོ།,
,,423,20,《པེ་》,mཡང་།,
,147,424,1,《སྣར་》,སྤྱོད།,
,148,425,1,《པེ་》《སྣར་》,mདེ,
,,426,2,《པེ་》《སྣར་》,གིས།,
,,427,3,《པེ་》《སྣར་》,mམི།,
,,428,4,《པེ་》《སྣར་》,གིས།,
,,429,5,《པེ་》《སྣར་》,mགི་ལྷའི་མིག,
,149,430,1,《པེ་》《སྣར་》,གིས།,
,150,431,1,《པེ་》《སྣར་》,གིས།,
,,432,2,《པེ་》《སྣར་》,གིས།,
,151,433,1,《པེ་》《སྣར་》,གསལ།,
,,434,2,《སྣར་》,གིས།,
,,435,3,《པེ་》《སྣར་》,mབ།,
,152,436,1,《པེ་》《སྣར་》,བསྲུང་།,
,,437,2,《པེ་》《སྣར་》,mདེ།,
,153,438,1,《པེ་》《སྣར་》,mབ།,
,,439,2,《པེ་》《སྣར་》,བསྲུང་།,
,,440,3,《སྣར་》,mདག,
,154,441,1,《པེ་》《སྣར་》,mབ།,
,,442,2,《པེ་》《སྣར་》,བསྲུང་།,
,,443,3,《པེ་》《སྣར་》,བསྲུང་།,
,155,444,1,《པེ་》《སྣར་》,བསྲུང་།,
,,445,2,《པེ་》《སྣར་》,དེ།,
,,446,3,《པེ་》《སྣར་》,བསྲུང་།,
,156,447,1,《པེ་》《སྣར་》,བསྲུང་།,
,,448,2,《པེ་》《སྣར་》,བསྲུང་།,
,157,449,1,《པེ་》《སྣར་》,བསྲུང་།,
,,450,2,《སྣར་》,པར།,
,,451,3,《སྣར་》,mཔ།,
,,452,4,《པེ་》《སྣར་》,mབདག་གིས།,
,158,453,1,《པེ་》《སྣར་》,ཏམ།,
,,454,2,《པེ་》《སྣར་》,ཀྱིས།,
,,455,3,《སྣར་》,pདེ།,
,,456,4,《པེ་》《སྣར་》,pངོ་།,
,,457,5,《སྣར་》,pལ་སྟོང་པ་ཉིད།,
,,458,6,《པེ་》《སྣར་》,mལ།,
,159,459,1,《པེ་》,ཀྱི།,
,160,460,1,《པེ་》《སྣར་》,mལུང་བསྟན་པ་ཞེས་བྱ་བར་གཟུང་སྟེ།,
,161,461,1,《པེ་》《སྣར་》,དེ།,
,,462,2,《པེ་》《སྣར་》,ཀྱི།,
,,463,3,《པེ་》《སྣར་》,བའི།,
,162,464,1,《པེ་》《སྣར་》,མནན།,
