མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,234,4,《པེ་》《སྣར་》,གསུང་སྟེ།,
,,235,5,《པེ་》《སྣར་》,འཁྲིག,
,327,236,1,《པེ་》《སྣར་》,མ་གྱུར།,
,,237,2,《པེ་》《སྣར་》,གྱི།,
,,238,3,《པེ་》《སྣར་》,ཀྱི།,
,,239,4,《པེ་》《སྣར་》,mཔས།,
,,240,5,《པེ་》《སྣར་》,བསྲུངས།,
,,241,6,《པེ་》《སྣར་》,རྣམས།,
,328,242,1,《པེ་》《སྣར་》,བུདྷཱ།,
,,243,2,《པེ་》《སྣར་》,པའི།,
,,244,3,《པེ་》《སྣར་》,མཱ་ཏྲི།,
,,245,4,《པེ་》《སྣར་》,པོས།,
,,246,5,《པེ་》《སྣར་》,པ།,
,,247,6,《པེ་》,mབྱ་བའི།,
,,248,7,《པེ་》,བྷུ།,
,,249,8,《པེ་》《སྣར་》,ཙརྱ།,
,,250,9,《པེ་》《སྣར་》,ཨི།,
,,251,10,《པེ་》《སྣར་》,བྷི།,
,329,252,1,《པེ་》《སྣར་》,ཡའི།,
,,253,2,《པེ་》《སྣར་》,སྦྲིངས།,
,,254,3,《པེ་》,pགཟིགས་འཚང་རྒྱ་བར་འགྱུར་ཞེས་དང་།་་་་་མོས་པ་སྤྱོད་པའི་ས་ལ། ( ཞེས་པའི་ཡི་གེ་འདི་རྣམས་དེབ་འདིའི་ལྡེབ312ང10-314ང་12བར་དཔེ་བསྡུར་བྱས་ཡོད། ) ,
,,255,4,《སྣར་》,mཆུང་བ་རྣམས།,
,,256,5,《པེ་》《སྣར་》,མཛད་དོ།།,
,,257,6,《པེ་》《སྣར་》,ཕྱེད།,
,,258,7,《པེ་》《སྣར་》,སྐྱེད།,
,,259,8,《པེ་》《སྣར་》,ཟློག,
,,260,9,《པེ་》《སྣར་》,རིག,
,,261,10,《པེ་》《སྣར་》,གྱི།,
,,262,11,《པེ་》《སྣར་》,འབྲེལ།,
,330,263,1,《པེ་》《སྣར་》,པིཎྜི།,
,,264,2,《པེ་》《སྣར་》,ཌཱི།,
,,265,3,《པེ་》《སྣར་》,ཁ་སརྦ་ཎཱའི།,
,,266,4,《པེ་》《སྣར་》,བཞིན།,
,,267,5,《པེ་》《སྣར་》,བརྟན།,
,,268,6,《པེ་》《སྣར་》,ལི་ཙ་བྱི།,
,,269,7,《པེ་》《སྣར་》,བསྒྱུར།,
,,270,8,《པེ་》《སྣར་》,mལ།,
,331,271,1,《པེ་》《སྣར་》,mདང་།,
,,272,2,《པེ་》《སྣར་》,སྐྲད།,
,,273,3,《པེ་》《སྣར་》,ལི་ཁར།,
,,274,4,《པེ་》《སྣར་》,སྟན།,
,,275,5,《པེ་》《སྣར་》,ལི་ཙ་བྱི།,
,,276,6,《པེ་》《སྣར་》,pདེ།,
,,277,7,《པེ་》《སྣར་》,ན།,
,,278,8,《པེ་》《སྣར་》,གཏང་།,
,,279,9,《པེ་》《སྣར་》《ཅོ་》,བསྲུང་།,
,332,280,1,《པེ་》《སྣར་》,གཞུངས།,
,,281,2,《པེ་》《སྣར་》,ཀྱིས།,
,,282,3,《པེ་》《སྣར་》,mདེ།,
,,283,4,《སྣར་》,pཡས།,
,,284,5,《པེ་》《སྣར་》,རིག,
,333,285,1,《པེ་》《སྣར་》,pམང་དུ།,
,,286,2,《པེ་》《སྣར་》,བེ།,
,,287,3,《སྣར་》,mཡང་།,
,,288,4,《པེ་》《སྣར་》,ཀོའུ་དི།,
,,289,5,《པེ་》《སྣར་》,ལི་ཙ་བྱི།,
,,290,6,《སྣར་》,བརྩོད།,
,,291,7,《པེ་》《སྣར་》,ཀྱི་ཉིད་ཀྱིས།,
,,292,8,《པེ་》《སྣར་》,སོར།,
,,293,9,《པེ་》《སྣར་》,བསྟན།,
,,294,10,《པེ་》《སྣར་》,ལྟ།,
,,295,11,《པེ་》《སྣར་》,རྒྱུད།,
,334,296,1,《པེ་》《སྣར་》,mབླ་མའི།,
,,297,2,《པེ་》《སྣར་》,བླངས།,
,,298,3,《པེ་》《སྣར་》,པ།,
,,299,4,《སྣར་》,mས།,
,335,300,1,《པེ་》《སྣར་》,བརྟགས།,
,,301,2,《པེ་》《སྣར་》,ཏི།,
,,302,3,《པེ་》《སྣར་》,ཏི།,
,,303,4,《པེ་》《སྣར་》,pདུ།,
,,304,5,《པེ་》《སྣར་》,pཏུ།,
,,305,6,《པེ་》《སྣར་》,ཏི་གསུང་ངོ་།,
,336,306,1,《པེ་》《སྣར་》,mཉི་ཤུ།,
,,307,2,《པེ་》《སྣར་》,བསྲུངས་ཏེ།,
,,308,3,《པེ་》《སྣར་》,ཚིགས་སམ།,
,,309,4,《པེ་》《སྣར་》,དྷཱུ་ཏིའི།,
,337,310,1,《པེ་》《སྣར་》,སྤྱད།,
,,311,2,《པེ་》《སྣར་》,རྗེས།,
,,312,3,《པེ་》《སྣར་》,པའོ།,
