                     མཚན་བྱང་།,            ཤོག་གྲངས།,1,           མཆན་གྲངས།,       པར་མ།,                                                                        མཆན།,
,,424,3,《པེ་》《སྣར་》,བླངས་ཏེ།,
,,425,4,《པེ་》《སྣར་》,༽མེད་པ།,
,,426,5,《པེ་》《སྣར་》,མཐའ།,
,,427,6,《པེ་》《སྣར་》,སྐྱོད།,
,,428,7,《པེ་》《སྣར་》,༼ནི།,
,,429,8,《པེ་》《སྣར་》,༼ལས།,
,122,430,1,《པེ་》,གཟུང་།,
,,431,2,《པེ་》《སྣར་》,༽ཆེ་ལོང་།,
,,432,3,《པེ་》《སྣར་》,༼ཡང་།,
,,433,4,《སྣར་》,ཀྱི།,
,,434,5,《པེ་》《སྣར་》,༽བརྟག་ཅིང་།,
