མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
,,121,3,《པེ་》《སྣར་》,བློས།,
,,122,4,《པེ་》《སྣར་》,ལྟར།,
,,123,5,《པེ་》《སྣར་》,༽ནི།,
,461,124,1,《པེ་》《སྣར་》,ན།,
,,125,2,《པེ་》《སྣར་》,༽དེ།,
,,126,3,《པེ་》,༼མ།,
,,127,4,《པེ་》《སྣར་》,༽ཀྱང་།,
,,128,5,《པེ་》《སྣར་》,བལྟོས་པར་ལྟ།,
,,129,6,《པེ་》《སྣར་》,ལས་བལྟོས།,
,462,130,1,《པེ་》《སྣར་》,འགགས།,
,,131,2,《པེ་》《སྣར་》,འགགས།,
,,132,3,《པེ་》《སྣར་》,འགགས།,
,,133,4,《པེ་》《སྣར་》,འགགས།,
,,134,5,《པེ་》《སྣར་》,གཉིས།,
,,135,6,《པེ་》《སྣར་》,༼འགྱུར།,
,,136,7,《པེ་》《སྣར་》,སྐྱེས་ཤིང་།,
,,137,8,《པེ་》《སྣར་》,སྐྱོན་ཏུ།,
,,138,9,《པེ་》《སྣར་》,འགགས།,
,463,139,1,《པེ་》《སྣར་》,དོ།,
,,140,2,《པེ་》《སྣར་》,༼རྣམས།,
,,141,3,《པེ་》《སྣར་》,ད།,
,,142,4,《སྣར་》,བུ།,
,464,143,1,《པེ་》《སྣར་》,ཀྱི།,
,,144,2,《པེ་》,བསྒྲུབ།,《སྣར་》,སྒྲུབ།
,,145,3,《པེ་》《སྣར་》,ཀྱི།,
,,146,4,《པེ་》《སྣར་》,ལ།,
,,147,5,《པེ་》《སྣར་》,ལྟར།,
,465,148,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,149,2,《པེ་》《སྣར་》,བརྟག,
,,150,3,《པེ་》《སྣར་》,༽ཤིག,
,,151,4,《པེ་》《སྣར་》,བརྟག,
,,152,5,《པེ་》《སྣར་》,བར།,
,,153,6,《པེ་》《སྣར་》,ལས་བལྟོས།,
,,154,7,《པེ་》《སྣར་》,༼ཞེ།,
,,155,8,《པེ་》《སྣར་》,བསམ།,
,466,156,1,《པེ་》《སྣར་》,པ།,
,,157,2,《པེ་》《སྣར་》,པ།,
,,158,3,《པེ་》《སྣར་》,ན།,
,,159,4,《པེ་》《སྣར་》,ན།,
,,160,5,《པེ་》《སྣར་》,པས།,
,,161,6,《པེ་》《སྣར་》,བརྟག,
,,162,7,《པེ་》《སྣར་》,༼པ།,
,,163,8,《པེ་》《སྣར་》,གི།,
,,164,9,《པེ་》《སྣར་》,བརྟག,
,,165,10,《པེ་》《སྣར་》,༽སྤུན།,
,,166,11,《པེ་》《སྣར་》,དེ།,
,,167,12,《པེ་》《སྣར་》,ཐགས།,
,,168,13,《པེ་》《སྣར་》,ཐགས་ཀྱི།,
,,169,14,《པེ་》《སྣར་》,དེའི།,
,,170,15,《པེ་》《སྣར་》,༽དེ།,
,467,171,1,《པེ་》《སྣར་》,དེ།,
,,172,2,《པེ་》《སྣར་》,ལ།,
,,173,3,《པེ་》《སྣར་》,སྐྱང་།,
,,174,4,《པེ་》《སྣར་》,དེ།,
,,175,5,《པེ་》《སྣར་》,ལས་བལྟོས།,
,,176,6,《པེ་》《སྣར་》,དུ་ནི།,
,468,177,1,《པེ་》《སྣར་》,གྱི།,
,,178,2,《པེ་》,༼དེ།,
,,179,3,《པེ་》《སྣར་》,ཇི།,
,,180,4,《པེ་》《སྣར་》,དེ།,
,,181,5,《པེ་》《སྣར་》,ཏེ།,
,469,182,1,《པེ་》《སྣར་》,༼དེ།,
,,183,2,《པེ་》《སྣར་》,༽ཡང་།,
,,184,3,《པེ་》《སྣར་》,ལྟར།,
,,185,4,《པེ་》《སྣར་》,དེ།,
,,186,5,《པེ་》《སྣར་》,པ།,
,,187,6,《པེ་》《སྣར་》,པ།,
,,188,7,《པེ་》《སྣར་》,༽རོ།,
,470,189,1,《པེ་》《སྣར་》,གཉི་ག,
,,190,2,《པེ་》《སྣར་》,༽བར།,
,,191,3,《པེ་》《སྣར་》,བརྟག,
,,192,4,《པེ་》《སྣར་》,དེ།,
,,193,5,《པེ་》《སྣར་》,གྱུར།,
,,194,6,《པེ་》《སྣར་》,གྱུར།,
,,195,7,《པེ་》《སྣར་》,གྱུར།,
,471,196,1,《པེ་》《སྣར་》,རྟེན།,
,,197,2,《པེ་》《སྣར་》,སྨྲའི།,
,,198,3,《པེ་》《སྣར་》,ཀྱི།,
,472,199,1,《པེ་》《སྣར་》,འགྲོའོ།,
,,200,2,《པེ་》《སྣར་》,ཕྱིར།,
,,201,3,《པེ་》《སྣར་》,འགྲོའོ།,
,,202,4,《པེ་》《སྣར་》,༽འགྲོ་བ་པོ།,
,,203,5,《པེ་》《སྣར་》,༼རོ།,
,,204,6,《པེ་》《སྣར་》,འགྲོའོ་ཞེས་པ།,
,,205,7,《པེ་》《སྣར་》,གྱུར།,
,,206,8,《པེ་》《སྣར་》,བརྟག,
,,207,9,《པེ་》《སྣར་》,འདོད།,
,473,208,1,《པེ་》《སྣར་》,འགྲོའོ།,
,,209,2,《པེ་》《སྣར་》,དེའི།,
,,210,3,《པེ་》《སྣར་》,པ།,
,,211,4,《པེ་》《སྣར་》,༼ལྟ།,
,,212,5,《པེ་》《སྣར་》,པ།,
,,213,6,《པེ་》《སྣར་》,༼མ།,
,,214,7,《པེ་》《སྣར་》,༽མ།,
,,215,8,《པེ་》《སྣར་》,༽འགྲོ་བ་པོ་ཡིན་དང་།,
,,216,9,《པེ་》《སྣར་》,བསལ།,
,474,217,1,《པེ་》,༽པོ།,
,,218,2,《པེ་》《སྣར་》,བྱ་བ།,
,,219,3,《སྣར་》,བའི།,
,,220,4,《པེ་》《སྣར་》,བརྩོམ།,
,475,221,1,《པེ་》《སྣར་》,བ་འགྲོ་བ་གང་།,
,,222,2,《པེ་》《སྣར་》,སྐྱོད།,
,,223,3,《པེ་》《སྣར་》,༼དེ།,
,,224,4,《པེ་》《སྣར་》,སྐྱོད།,
,,225,5,《པེ་》《སྣར་》,ག,
,,226,6,《པེ་》《སྣར་》,བརྟགས།,
,,227,7,《པེ་》《སྣར་》,བར།,
,,228,8,《པེ་》《སྣར་》,༽འགྲོ་བ།,
,476,229,1,《པེ་》《སྣར་》,པ།,
,,230,2,《པེ་》《སྣར་》,དོ།,
,,231,3,《པེ་》《སྣར་》,༽ལྟ།,
,,232,4,《པེ་》《སྣར་》,༽ལས།,
,,233,5,《སྣར་》,༼ཡང་།,
,,234,6,《པེ་》《སྣར་》,ལྟ།,
,,235,7,《སྣར་》,དོ།,
,477,236,1,《པེ་》《སྣར་》,༽བ།,
,,237,2,《པེ་》《སྣར་》,ན།,
,,238,3,《པེ་》《སྣར་》,སྡོད།,
,,239,4,《པེ་》《སྣར་》,པར།,
,,240,5,《པེ་》《སྣར་》,རོ། །ད།,
,,241,6,《པེ་》《སྣར་》,ལ།,
,,242,7,《པེ་》《སྣར་》,༼ག,
,478,243,1,《པེ་》《སྣར་》《ཅོ་》,༼ཇི་ལྟར།,
,,244,2,《པེ་》《སྣར་》,༽རོ།,
,,245,3,《པེ་》《སྣར་》,སྡོད།,
,,246,4,《པེ་》《སྣར་》,༼ལ།,
,,247,5,《པེ་》《སྣར་》《ཅོ་》,བགོམ།,
,,248,6,《པེ་》《སྣར་》,༼གང་།,
,,249,7,《པེ་》《སྣར་》,དཔའ།,
,,250,8,《པེ་》《སྣར་》,དེ།,
,479,251,1,《པེ་》《སྣར་》,དེ།,
,,252,2,《པེ་》《སྣར་》,བརྟག,
,,253,3,《པེ་》《སྣར་》,བརྟག,
,,254,4,《པེ་》《སྣར་》,གར།,
,,255,5,《པེ་》《སྣར་》,༼འགྱུར།,
,480,256,1,《པེ་》《སྣར་》,རྫངས།,
,,257,2,《པེ་》,གོ།,
,,258,3,《པེ་》《སྣར་》,པ།,
,,259,4,《པེ་》《སྣར་》,༽ན།,
,,260,5,《པེ་》《སྣར་》,༽གྱི།,
,,261,6,《པེ་》《སྣར་》,གནན།,
,,262,7,《པེ་》《སྣར་》,༽བ།,
,481,263,1,《པེ་》《སྣར་》,དེ།,
,,264,2,《པེ་》《སྣར་》,འཐད་དོ།,
,,265,3,《པེ་》《སྣར་》,གིས།,
,,266,4,《པེ་》《སྣར་》,དེའི།,
,,267,5,《པེ་》《སྣར་》,གིས།,
,482,268,1,《པེ་》,ན།,
,,269,2,《པེ་》《སྣར་》,དེ་མ་ཡིན་པར་གྱུར་པ།,
,,270,3,《པེ་》《སྣར་》,བ།,
,,271,4,《པེ་》《སྣར་》,པར་འགྱུར་བ།,
,483,272,1,《པེ་》《སྣར་》,སྒྲུབས།,
,,273,2,《པེ་》《སྣར་》,མྱང་།,
,,274,3,《པེ་》《སྣར་》,པར།,
,,275,4,《པེ་》《སྣར་》,༽མི།,
,,276,5,《པེ་》《སྣར་》,བ།,
,484,277,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,278,2,《པེ་》《སྣར་》,དཔེས།,
,485,279,1,《པེ་》《སྣར་》,སྲེག,
,,280,2,《པེ་》《སྣར་》,དཔའ།,
,,281,3,《པེ་》《སྣར་》,༼ཡང་།,
,,282,4,《པེ་》《སྣར་》,ལྟ།,
,486,283,1,《པེ་》《སྣར་》,༽དེ།,
,,284,2,《པེ་》《སྣར་》,༽བསྲེག་པ་ཡང་སྲེག་པར་མི་བྱེད་ལ།,
,,285,3,《པེ་》《སྣར་》,བྱ།,
,,286,4,《པེ་》《སྣར་》,ན།,
,,287,5,《པེ་》《སྣར་》,༼བ།,
,487,288,1,《པེ་》《སྣར་》,རིག,
,,289,2,《པེ་》《སྣར་》,༼བས།,
,,290,3,《པེ་》,༼དང་།,
,,291,4,《པེ་》《སྣར་》,ལ།,
,,292,5,《པེ་》《སྣར་》,༼ཇི་ལྟར།,
,,293,6,《པེ་》《སྣར་》,ན།,
,488,294,1,《པེ་》《སྣར་》,བལྟ།,
,,295,2,《པེ་》《སྣར་》,བ།,
,,296,3,《པེ་》《སྣར་》,ཏེ།,
,,297,4,《པེ་》《སྣར་》,ལྟ།,
,,298,5,《པེ་》《སྣར་》,ལྟ།,
,,299,6,《པེ་》《སྣར་》,ཁྱོད་ཀྱི་ནི། །ལྟ་བ་ལྟ་བ།,
,,300,7,《པེ་》《སྣར་》,པ།,
,,301,8,《པེ་》《སྣར་》,སྤང་།,
,,302,9,《པེ་》《སྣར་》,ལྟ།,
,489,303,1,《པེ་》《སྣར་》,ལྟ།,
,,304,2,《པེ་》《སྣར་》,པ།,
,,305,3,《པེ་》《སྣར་》,ལྟ།,
,,306,4,《པེ་》《སྣར་》,གི།,
,,307,5,《པེ་》《སྣར་》,ལྟ།,
,,308,6,《པེ་》《སྣར་》,ལྟ།,
,,309,7,《པེ་》《སྣར་》,ལྟ།,
,,310,8,《པེ་》《སྣར་》,ལྟ།,
,490,311,1,《སྣར་》,༽ད།,
,,312,2,《པེ་》《སྣར་》,པ།,
,,313,3,《པེ་》《སྣར་》,པར།,
,,314,4,《པེ་》《སྣར་》,ལྟ།,
,491,315,1,《པེ་》《སྣར་》,ལྟར།,
,,316,2,《པེ་》《སྣར་》,༽ན།,
,,317,3,《པེ་》《སྣར་》,པས།,
,,318,4,《པེ་》《སྣར་》,བསལ།,
,492,319,1,《པེ་》《སྣར་》,ཞིག་བརྟག,
,,320,2,《པེ་》《སྣར་》,༽ལ།,
,,321,3,《པེ་》《སྣར་》,༽ཡང་།,
,,322,4,《པེ་》《སྣར་》,འདིར།,
,493,323,1,《པེ་》《སྣར་》,པར།,
,,324,2,《པེ་》《སྣར་》,མ་ཡིན།,
,,325,3,《སྣར་》,བར།,
,,326,4,《པེ་》《སྣར་》,ཐ་ཆད།,
,,327,5,《པེ་》《སྣར་》,གཟུང་།,
,,328,6,《པེ་》《སྣར་》,བརྟག,
,,329,7,《པེ་》《སྣར་》,བའི།,
,494,330,1,《པེ་》《སྣར་》,༽དང་།,
,,331,2,《པེ་》《སྣར་》,༼མི་འཐད་པ་ཉིད་ཀྱིས།,
