སྡེ་	པེ་	ཅོ་	སྣར་
བུ ར། །ཁྱོད་ཀྱིས་	བུ ས།  །ཁྱོད་ཀྱི་	བུ ར། །ཁྱོད་ཀྱིས་	བུ ས།  །ཁྱོད་ཀྱི་	
སུམ་	ཚོགས་	སུམ་	ཚོགས་	
གི	ནི	གི	ནི	
པ་	པ ར་	པ་	པ ར་	
གི་	གིས་	གི་	གིས་	
གི་	གིས་	གི་	གིས་	
ཅན་	བཅས་	ཅན་	བཅས་	
ནི་	གི་	ནི་	གི་	
དག་	རྣམས་	དག་	རྣམས་	
ནི	ལ	ནི	ལ	
ཡི་	ཡིས་	ཡི་	ཡིས་	
པ་	ལ་	པ་	ལ་	
གི་	གིས་	གི་	གིས་	
ལ་	ལ འང་	ལ་	ལ འང་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
ལྟར	ལྟ	ལྟར	ལྟ	
གིས་	གི་	གིས་	གི་	
ཡི་	ཡིས་	ཡི་	ཡིས་	
གྲི་	གྲིའི་	གྲི་	གྲིའི་	
གསལ་བ་	གསལ་བ ར་	གསལ་བ་	གསལ་བ ར་	
ཞེ་	ཞེས་	ཞེ་	ཞེས་	
ལྟར་	ལྟ་	ལྟར་	ལྟ་	
པ	པ ར	པ	པ ར	
པ	པ ས	པ	པ ས	
ཉིད	ཞིང་	ཉིད	ཞིང་	
བྱ་སྨོན་ལམ་གྱི	བྱ འི་སྨོན་ལམ་གྱིས	བྱ་སྨོན་ལམ་གྱི	བྱ འི་སྨོན་ལམ་གྱིས	
པ འི་	དང་	པ འི་	དང་	
བུ ར་	བུ་	བུ ར་	བུ་	
དེ ར་	དེ་	དེ ར་	དེ་	
བུ ར་	བུ་	བུ ར་	བུ་	
མཐོང་བ ས་	མཐོང་བ ར་	མཐོང་བ ས་	མཐོང་བ ར་	
པོ་	པོ ར་	པོ་	པོ ར་	
པ་	ཅན་	པ་	ཅན་	
གིས་	གི་	གིས་	གི་	
བ	བར	བ	བར	
ལ་	ལས་	ལ་	ལས་	
ནི་	ཉིད་	ནི་	ཉིད་	
ཅེ་	ཅེས་	ཅེ་	ཅེས་	
དེ་	དེ ར་	དེ་	དེ ར་	
དག	དག	དང་	དག	
པ འང་	པ་	པ འང་	པ་	
ནི་	འདི་	ནི་	འདི་	
ན་	ན འང་	ན་	ན འང་	
དེ་	དེ ར་	དེ་	དེ ར་	
གི་	གིས་	གི་	གིས་	
ཏེ	ན	ཏེ	ན	
པོ་	པོ ར་	པོ་	པོ ར་	
པ ར	པ	པ ར	པ	
བ་	བོ་	བ་	བོ་	
གང་གིས་	གལ་ལས་	གང་གིས་	གལ་ལས་	
པ	ན	པ	ན	
གྱི་	གྱིས་	གྱི་	གྱིས་	
དུ་	དུ འང་	དུ་	དུ འང་	
པ	དེ	པ	དེ	
ཉིད་	ནི་	ཉིད་	ནི་	
པ	པ འི	པ	པ འི	
ཡིས་འབྲས་སྐྱེད་ནུས	ཡི་འབྲས་བུ་སྐྱེད	ཡིས་འབྲས་སྐྱེད་ནུས	ཡི་འབྲས་བུ་སྐྱེད	
བོ འང་	བོ་	བོ འང་	བོ་	
ན། །འབྲས་བུ འི་	ལ། འབྲས་བུ་	ན། །འབྲས་བུ འི་	ལ། འབྲས་བུ་	
དེ ས་	དེ་	དེ ས་	དེ་	
ན འང་	ན་	ན འང་	ན་	
དག་	དང་	དག་	དང་	
བ འང་	བ་	བ འང་	བ་	
གསལ་བ་	གསལ་བ ར་	གསལ་བ་	གསལ་བ ར་	
པ་སྐྱེ་བ ར་	པ ར་སྐྱེ་བ་	པ་སྐྱེ་བ ར་	པ ར་སྐྱེ་བ་	
ཀྱིས་བཞག་	ཀྱི འང་གཞག་	ཀྱིས་བཞག་	ཀྱི འང་གཞག་	
བ འམ་	འམ་	བ འམ་	འམ་	
ནས་	ནས་	ནས་	ལས་	
ཅིང་	ཅིག	ཅིང་	ཅིག	
པ	པ ས	པ	པ ས	
ཡོད	ཡིན	ཡོད	ཡིན	
དེ་	དང་	དེ་	དང་	
ན	ན འང་	ན	ན འང་	
པ འང་	པ འང་	པ འང་	པ་ལ འང་	
གིས་	གི་	གིས་	གི་	
པོ འི་	པ འི་	པོ འི་	པ འི་	
འདི ར་ནི་	འདི་ན་	འདི ར་ནི་	འདི་ན་	
དེ་	དེ ར་	དེ་	དེ ར་	
ན འི་	པ འི་	ན འི་	པ འི་	
ནི་	འདི་	ནི་	འདི་	
ཡི	ཞིང་	ཡི	ཞིང་	
ནི	འདི	ནི	འདི	
པ ར་	པ་	པ ར་	པ་	
དག	དག	དང་	དག	
དག་	ཡང་	དག་	ཡང་	
པདྨ་	པདྨོ་	པདྨ་	པདྨོ་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
ལྡན་	པ་	ལྡན་	པ་	
དགའ་	དགར་	དགའ་	དགར་	
གི	གིས	གི	གིས	
གྱིས་	གྱི་	གྱིས་	གྱི་	
པ ར་	པ་	པ ར་	པ་	
མ་	མི་	མ་	མི་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
པ་	པ འང་	པ་	པ འང་	
བཅུ འི་	བཅུ་	བཅུ འི་	བཅུ་	
ནས	ནས	ནས	ཏེ	
ལས་ཞུས་	ལ་གཏུགས་	ལས་ཞུས་	ལ་གཏུགས་	
པ འོ	པ	པ འོ	པ	
