མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,158,9,《པེ་》,བརྫུས་ཏེ།,《སྣར་》,བརྫུ་སྟེ།,,,
,,159,10,《པེ་》《སྣར་》,དེ།,,,,,
,,160,11,《སྣར་》,སྐྱེས།,,,,,
,,161,12,《པེ་》《སྣར་》,pདེ།,,,,,
,129,162,1,《སྣར་》,སྤང་།,,,,,
,,163,2,《པེ་》,རྣམ།,《སྣར་》,རྣམས།,,,
,,164,3,《པེ་》《སྣར་》,པ།,,,,,
,,165,4,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,166,5,《པེ་》《སྣར་》,གི།,,,,,
,130,167,1,《པེ་》《སྣར་》,དཔའ།,,,,,
,,168,2,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,169,3,《པེ་》《སྣར་》,ཆུ།,,,,,
,,170,4,《པེ་》《སྣར་》,བསྟེན།,,,,,
,,171,5,《པེ་》《སྣར་》,ཆུ།,,,,,
,,172,6,《པེ་》《སྣར་》,ཆུས།,,,,,
,131,173,1,《སྣར་》,ནི།,,,,,
,,174,2,《པེ་》《སྣར་》,འགྲོན།,,,,,
,,175,3,《པེ་》《སྣར་》,བཅུགས།,,,,,
,,176,4,《པེ་》《སྣར་》,mཞེས།,,,,,
,132,177,1,《པེ་》《སྣར་》,mསྒོའི།,,,,,
,,178,2,《སྣར་》,ལགས།,,,,,
,,179,3,《པེ་》《སྣར་》,བཞག,,,,,
,,180,4,《པེ་》《སྣར་》,pལ།,,,,,
,,181,5,《པེ་》《སྣར་》,བརྩེ།,,,,,
,,182,6,《པེ་》《སྣར་》,གིས།,,,,,
,,183,7,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,133,184,1,《སྣར་》,བཞག,,,,,
,,185,2,《པེ་》《སྣར་》,འདོན།,,,,,
,,186,3,《སྣར་》,པ།,,,,,
,,187,4,《པེ་》《སྣར་》,གི།,,,,,
,,188,5,《པེ་》《སྣར་》,mཔ།,,,,,
,134,189,1,《པེ་》《སྣར་》,འདས།,,,,,
,,190,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,191,3,《སྣར་》,སྡུགས།,,,,,
,,192,4,《པེ་》《སྣར་》,བསྲེག,,,,,
,,193,5,《པེ་》,རྟོག,,,,,
,135,194,1,《པེ་》《སྣར་》,པོ་ལས།,,,,,
,,195,2,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,196,3,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,197,4,《པེ་》《སྣར་》,mཆ།,,,,,
,,198,5,《པེ་》《སྣར་》,pདང་།,,,,,
,,199,6,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,200,7,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,201,8,《པེ་》《སྣར་》,ཐོག,,,,,
,136,202,1,《སྣར་》,ལ།,,,,,
,,203,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,204,3,《པེ་》,རྩོན།,,,,,
,,205,4,《པེ་》《སྣར་》,རྗེ།,,,,,
,,206,5,《པེ་》《སྣར་》,pརོ།,,,,,
,137,207,1,《པེ་》《སྣར་》,mལ།,,,,,
,,208,2,《སྣར་》,pནི།,,,,,
,,209,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,210,4,《པེ་》《སྣར་》,འཇིགས།,,,,,
,,211,5,《པེ་》《སྣར་》,mཔོ།,,,,,
,,212,6,《པེ་》《སྣར་》,བཟང་།,,,,,
,138,213,1,《སྣར་》,གི།,,,,,
,,214,2,《པེ་》《སྣར་》,ལ།,,,,,
,,215,3,《པེ་》《སྣར་》,སྲེག,,,,,
,,216,4,《སྣར་》,mརོ།,,,,,
,,217,5,《པེ་》《སྣར་》,mཀྱི།,,,,,
,139,218,1,《སྣར་》,mནོ།,,,,,
,,219,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,220,3,《པེ་》《སྣར་》,mདང་།,,,,,
,140,221,1,《པེ་》《སྣར་》,བྱའོ།,,,,,
,,222,2,《པེ་》《སྣར་》,སྩལ་པ།,,,,,
,,223,3,《པེ་》《སྣར་》,mཆེ།,,,,,
,141,224,1,《པེ་》,པས།,,,,,
,,225,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,226,3,《པེ་》《སྣར་》,mཉིད།,,,,,
,,227,4,《པེ་》《སྣར་》,རིམ།,,,,,
,,228,5,《པེ་》《སྣར་》,བཟང་།,,,,,
,,229,6,《པེ་》《སྣར་》,བཟང་།,,,,,
,,230,7,《པེ་》《སྣར་》,བཙིགས།,,,,,
,142,231,1,《པེ་》《སྣར་》,ཚོམས།,,,,,
,,232,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,233,3,《པེ་》《སྣར་》,བཞག,,,,,
,,234,4,《པེ་》《སྣར་》,པ་གཉིས་དང་རྣམ།,,,,,
,,235,5,《པེ་》《སྣར་》,སྤྱད།,,,,,
,,236,6,《པེ་》《སྣར་》,mབཞིན།,,,,,
,143,237,1,《སྣར་》,རིག།,,,,,
,,238,2,《པེ་》《སྣར་》,བཞག,,,,,
,,239,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,240,4,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,241,5,《སྣར་》,རྩེས།,,,,,
,,242,6,《པེ་》《སྣར་》,གཞག,,,,,
,,243,7,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,244,8,《པེ་》《སྣར་》,བཏད།,,,,,
,,245,9,《པེ་》,ཐུགས།,,,,,
,,246,10,《པེ་》《སྣར་》,ཐེ་བོ།,,,,,
,,247,11,《པེ་》《སྣར་》,པ།,,,,,
,,248,12,《པེ་》《སྣར་》,འགག,,,,,
,,249,13,《པེ་》《སྣར་》,བཞག,,,,,
,144,250,1,《སྣར་》,ཀྱིས།,,,,,
,,251,2,《པེ་》《སྣར་》,བཞག,,,,,
,,252,3,《པེ་》《སྣར་》,mམཐོང་བར།,,,,,
,,253,4,《པེ་》《སྣར་》,མ་བཞག,,,,,
,,254,5,《པེ་》《སྣར་》,mདེ།,,,,,
,,255,6,《སྣར་》,པའི།,,,,,
,,256,7,《པེ་》《སྣར་》,བཞག,,,,,
,,257,8,《པེ་》《སྣར་》,བཙགས་པས་རིམས་ཀྱི་ཁད་ཀྱི།,,,,,
,145,258,1,《པེ་》《སྣར་》,ཡངས།,,,,,
,,259,2,《པེ་》《སྣར་》,ཡངས།,,,,,
,,260,3,《པེ་》《སྣར་》,ལ།,,,,,
,,261,4,《པེ་》《སྣར་》,པའོ།།,,,,,
,,262,5,《སྣར་》,mཔ།,,,,,
,,263,6,《པེ་》《སྣར་》,བལྟ།,,,,,
,,264,7,《པེ་》《སྣར་》,སྟོད།,,,,,
,,265,8,《པེ་》《སྣར་》,སྦང་ཞིང་།,,,,,
,146,266,1,《པེ་》《སྣར་》,རིམ།,,,,,
,,267,2,《ཅོ་》,གི།,,,,,
,,268,3,《པེ་》《སྣར་》,བཀྲུ།,,,,,
,,269,4,《པེ་》《སྣར་》,བསྒྲིམས།,,,,,
,,270,5,《པེ་》《སྣར་》,ན།,,,,,
,,271,6,《པེ་》《སྣར་》,བཞག,,,,,
,,272,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,273,8,《པེ་》《སྣར་》,བཞག,,,,,
,,274,9,《པེ་》《སྣར་》,བཞག,,,,,
,,275,10,《པེ་》《སྣར་》,སྤྱད།,,,,,
,,276,11,《པེ་》《སྣར་》,རྟོགས།,,,,,
,147,277,1,《པེ་》,པ།,,,,,
,,278,2,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,279,3,《པེ་》《སྣར་》,mཔ་ཡིན།,,,,,
,,280,4,《པེ་》《སྣར་》,བར།,,,,,
,,281,5,《པེ་》《སྣར་》,བསྒྲིབ།,,,,,
,,282,6,《པེ་》《སྣར་》,བརྟན།,,,,,
,,283,7,《པེ་》,མཐུན་པར།,《སྣར་》,འཐུན་པར།,,,
,148,284,1,《པེ་》《སྣར་》,དང་བཅས་པའི།,,,,,
,,285,2,《པེ་》《སྣར་》,pད།,,,,,
,,286,3,《པེ་》《སྣར་》,དེའང་།,,,,,
,,287,4,《པེ་》,བརྟགས།,,,,,
,149,288,1,《པེ་》《སྣར་》,mབྱ་བ་ཞེས།,,,,,
,,289,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,290,3,《པེ་》《སྣར་》,དུའམ།,,,,,
,,291,4,《པེ་》《སྣར་》,དེ་དག,,,,,
,,292,5,《པེ་》《སྣར་》,གྲངས།,,,,,
,,293,6,《པེ་》《སྣར་》,mདམངས།,,,,,
,,294,7,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,150,295,1,《པེ་》《སྣར་》,ཟེ།,,,,,
,,296,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,297,3,《པེ་》《སྣར་》,འདིར་ནི།,,,,,
,,298,4,《སྣར་》,mགཞན་གྱི།,,,,,
,,299,5,《པེ་》《སྣར་》,པ།,,,,,
,,300,6,《པེ་》《སྣར་》,རིག།,,,,,
,,301,7,《སྣར་》,pགཞན་གྱི།,,,,,
,,302,8,《པེ་》《སྣར་》,བརྩུབ།,,,,,
,,303,9,《པེ་》《སྣར་》,pཀྱིས།,,,,,
,151,304,1,《པེ་》《སྣར་》,པ།,,,,,
,,305,2,《པེ་》《སྣར་》,དེ།,,,,,
,,306,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,307,4,《པེ་》《སྣར་》,pདུ།,,,,,
,,308,5,《པེ་》,ནི།,《སྣར་》,mན།,,,
,,309,6,《པེ་》《སྣར་》,གི།,,,,,
,152,310,1,《པེ་》《སྣར་》,བཞག,,,,,
,,311,2,《པེ་》《སྣར་》,ཚིག,,,,,
,153,312,1,《པེ་》,བསྒྲུབ།,,,,,
,,313,2,《པེ་》《སྣར་》,mདགག,,,,,
,,314,3,《པེ་》《སྣར་》,རྟག,,,,,
,,315,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,316,5,《ཅོ་》,བ་མ།,,,,,
,,317,6,《པེ་》《སྣར་》,pའདིར།,,,,,
,,318,7,《པེ་》《སྣར་》,pཕྱིར།,,,,,
,,319,8,《པེ་》《སྣར་》,ཚིག,,,,,
,154,320,1,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,321,2,《པེ་》《སྣར་》,mཔའི།,,,,,
,,322,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,323,4,《པེ་》《སྣར་》,བསྒྱུར།,,,,,
,155,324,1,《པེ་》《སྣར་》,གི།,,,,,
,,325,2,《སྣར་》,ལྟར།,,,,,
,,326,3,《པེ་》,pདུ།,,,,,
,,327,4,《པེ་》《སྣར་》,བཞག,,,,,
,,328,5,《པེ་》《སྣར་》,མཐོར།,,,,,
,156,329,1,《པེ་》《སྣར་》,མགུལ།,,,,,
,,330,2,《པེ་》《སྣར་》,བཞག,,,,,
,,331,3,《པེ་》《སྣར་》,mན།,,,,,
,,332,4,《པེ་》《སྣར་》,mཡང་།,,,,,
,,333,5,《པེ་》《སྣར་》,རྟོགས་ཏེ།,,,,,
,,334,6,《པེ་》《སྣར་》,གིས།,,,,,
,,335,7,《པེ་》《སྣར་》,mམ།,,,,,
,,336,8,《པེ་》《སྣར་》,མཁའ།,,,,,
,,337,9,《པེ་》《སྣར་》,པར།,,,,,
,157,338,1,《པེ་》《སྣར་》,mལ།,,,,,
,,339,2,《པེ་》《སྣར་》,གནོད།,,,,,
,,340,3,《པེ་》《སྣར་》,mཏུ།,,,,,
,,341,4,《པེ་》《སྣར་》,རྐྱང་།,,,,,
,158,342,1,《པེ་》《སྣར་》,mཡང་།,,,,,
