སྣར་	ཅོ་	སྡེ་	པེ་
རྟོག་	རྟོགས་	རྟོགས་	རྟོག་	
བགོམ་	འགོམ་	འགོམ་	བགོམ་	
སྐྱེས་	སྐྱེ་	སྐྱེ་	སྐྱེས་	
སྐྱེད་	བསྐྱེད་	བསྐྱེད་	སྐྱེད་	
བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་	
བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་	
བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་	
སྐྱེད་	སྐྱེ་	སྐྱེ་	སྐྱེད་	
སྐྱེད་པ་མིན	སྐྱེ་དབང་མེད	སྐྱེ་དབང་མེད	སྐྱེད་པ་མིན	
བསྒོམ་	སྒོམ་	སྒོམ་	བསྒོམ་	
འགྱུར་	གྱུར་	གྱུར་	འགྱུར་	
གཡངས་	གཡང་	གཡང་	གཡངས་	
འགྱུར	གྱུར	གྱུར	འགྱུར	
གྱུར་	འགྱུར་	འགྱུར་	གྱུར་	
གཟུང་	བཟུང་	བཟུང་	གཟུང་	
བསམས་	བསམ་	བསམ་	བསམས་	
རྗེས་བརླན་ཅན་	རྗེ འི་རླན་སྤྱན་	རྗེ འི་རླན་སྤྱན་	རྗེས་བརླན་ཅན་	
རྩེགས་	བརྩེགས་	བརྩེགས་	རྩེགས་	
འགྱུར	གྱུར	གྱུར	འགྱུར	
གྱུར	འགྱུར	འགྱུར	གྱུར	
བསམས་	བསམ་	བསམ་	བསམས་	
བསྲུང་བ་	སྲུང་བ ར་	སྲུང་བ ར་	བསྲུང་བ་	
བཟུང་	གཟུང་	གཟུང་	བཟུང་	
འགྲུབ་	གྲུབ་	གྲུབ་	འགྲུབ་	
འགྲུབ་	གྲུབ་	གྲུབ་	འགྲུབ་	
སྤང་	སྤངས་	སྤངས་	སྤང་	
བསྒོམ་	སྒོམ་	སྒོམ་	བསྒོམ་	
སྤྱད་	སྤྱོད་	སྤྱད་	སྤྱད་	
